name,id,route_id
39 Av,39 AV,N
4 Av - 9 St,4 AV-9 ST,G
4 Av - 9 St,4 AV-9 ST,R
4 Av - 9 St,4 AV-9 ST,F
40 St - Lowery St,40 ST LOWERY ST,7
42 St - Bryant Pk,42 ST-BRYANT PK,F
42 St - Bryant Pk,42 ST-BRYANT PK,M
42 St - Bryant Pk,42 ST-BRYANT PK,D
42 St - Bryant Pk,42 ST-BRYANT PK,B
45 St,45 ST,R
46 St,46 ST,R
46 St,46 ST,M
46 St - Bliss St,46 ST BLISS ST,7
47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,M
47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,D
47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,F
47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,B
49 St,49 ST,R
49 St,49 ST,W
49 St,49 ST,N
4 Av - 9 St,4AV-9 ST,G
4 Av - 9 St,4AV-9 ST,F
5 AV/53 ST,5 AV/53 ST,E
5 AV/53 ST,5 AV/53 ST,M
5 Av/59 St,5 AV/59 ST,W
5 Av/59 St,5 AV/59 ST,N
5 Av/59 St,5 AV/59 ST,R
5 Av,5 AVE,7
50 St,50 ST,1
50 St,50 ST,E
50 St,50 ST,C
50 St,50 ST,D
51 St,51 ST,6
52 St,52 ST,7
53 St,53 ST,R
55 St,55 ST,D
57 St,57 ST,F
57 St - 7 Av,57 ST-7 AV,R
57 St - 7 Av,57 ST-7 AV,W
57 St - 7 Av,57 ST-7 AV,Q
57 St - 7 Av,57 ST-7 AV,N
Woodside - 61 St,61 ST WOODSIDE,7
63 Dr - Rego Park,63 DR-REGO PARK,R
63 Dr - Rego Park,63 DR-REGO PARK,M
65 St,65 ST,R
65 St,65 ST,M
66 St - Lincoln Center,66 ST-LINCOLN,1
67 Av,67 AV,R
67 Av,67 AV,M
68ST-HUNTER CO,68ST-HUNTER CO,6
69 St,69 ST,7
7 Av,7 AV,E
7 Av,7 AV,B
7 Av,7 AV,D
7 Av,7 AV,Q
7 Av,7 AV,B
7 Av,7 AV,G
7 Av,7 AV,F
71 St,71 ST,D
72 St,72 ST,2
72 St,72 ST,1
72 St,72 ST,3
72 St,72 ST,C
72 St,72 ST,B
72 St,72 ST-2 AVE,Q
74 St - Broadway,74 ST-BROADWAY,7
75 Av,75 AV,E
75 Av,75 AV,F
75 St - Elder Ln,75 ST-ELDERTS,J
75 St - Elder Ln,75 ST-ELDERTS,Z
77 St,77 ST,6
77 St,77 ST,R
79 St,79 ST,1
79 St,79 ST,D
8 AV,8 AV,A
8 AV,8 AV,C
8 AV,8 AV,E
8 Av,8 AV,N
8 St - NYU,8 ST-NYU,R
8 St - NYU,8 ST-NYU,W
80 St,80 ST,A
81 St - Museum of Natural History,81 ST-MUSEUM,C
81 St - Museum of Natural History,81 ST-MUSEUM,B
82 St - Jackson Hts,82 ST-JACKSON H,7
85 St - Forest Pkwy,85 ST-FOREST PK,J
86 St,86 ST,1
86 St,86 ST,5
86 St,86 ST,6
86 St,86 ST,4
86 St,86 ST,C
86 St,86 ST,B
86 St,86 ST,N
86 St,86 ST,R
86 St,86 ST-2 AVE,Q
88 St,88 ST,A
9 Av,9 AV,D
90 St - Elmhurst Av,90 ST-ELMHURST,7
96 St,96 ST,1
96 St,96 ST,2
96 St,96 ST,3
96 St,96 ST,6
96 St,96 ST,C
96 St,96 ST,B
96 St,96 ST-2 AVE,Q
Alabama Av,ALABAMA AV,J
Alabama Av,ALABAMA AV,Z
Allerton Av,ALLERTON AV,2
Allerton Av,ALLERTON AV,5
Aqueduct - N Conduit Av,AQUEDUCT N.COND,A
Aqueduct Racetrack,AQUEDUCT RACETR,A
Astor Pl,ASTOR PL,6
Astoria Blvd,ASTORIA BLVD,N
Astoria Blvd,ASTORIA BLVD,W
Astoria - Ditmars Blvd,ASTORIA DITMARS,N
Astoria - Ditmars Blvd,ASTORIA DITMARS,W
Avenue H,AVENUE H,Q
Avenue I,AVENUE I,F
Avenue J,AVENUE J,Q
Avenue M,AVENUE M,Q
Avenue N,AVENUE N,F
Avenue P,AVENUE P,F
Avenue U,AVENUE U,Q
Avenue U,AVENUE U,F
Avenue U,AVENUE U,N
Avenue X,AVENUE X,F
Broadway-Lafayette St,B'WAY-LAFAYETTE,M
Broadway-Lafayette St,B'WAY-LAFAYETTE,F
Broadway-Lafayette St,B'WAY-LAFAYETTE,D
Broadway-Lafayette St,B'WAY-LAFAYETTE,B
Bay 50 St,BAY 50 ST,D
Bay Pkwy,BAY PKWY,D
Bay Pkwy,BAY PKWY,F
Bay Pkwy,BAY PKWY,N
Bay Ridge Av,BAY RIDGE AV,R
Bay Ridge - 95 St,BAY RIDGE-95 ST,R
Baychester Av,BAYCHESTER AV,5
Beach 25 St,BEACH 25 ST,A
Beach 36 St,BEACH 36 ST,A
Beach 44 St,BEACH 44 ST,A
Beach 60 St,BEACH 60 ST,A
Beach 67 St,BEACH 67 ST,A
Bedford Park Blvd - Lehman College,BEDFORD PK BLVD,4
Bedford Park Blvd,BEDFORD PK BLVD,D
Bedford Park Blvd,BEDFORD PK BLVD,B
Bedford - Nostrand Avs,BEDFORD-NOSTRAN,G
Bergen St,BERGEN ST,3
Bergen St,BERGEN ST,2
Bergen St,BERGEN ST,G
Bergen St,BERGEN ST,F
Beverley Rd,BEVERLEY ROAD,Q
Beverly Rd,BEVERLY RD,5
Beverly Rd,BEVERLY RD,2
Bleecker St,BLEECKER ST,6
Bowery,BOWERY,J
Bowery,BOWERY,Z
Bowling Green,BOWLING GREEN,5
Bowling Green,BOWLING GREEN,4
Briarwood,BRIARWOOD,E
Briarwood,BRIARWOOD,F
Brighton Beach,BRIGHTON BEACH,Q
Brighton Beach,BRIGHTON BEACH,B
Broad Channel,BROAD CHANNEL,A
Broad St,BROAD ST,J
Broad St,BROAD ST,Z
Broadway,BROADWAY,G
Broadway,BROADWAY,N
Broadway,BROADWAY,W
Broadway Jct,BROADWAY JCT,A
Broadway Jct,BROADWAY JCT,J
Broadway Jct,BROADWAY JCT,C
Broadway Jct,BROADWAY JCT,Z
Bronx Park East,BRONX PARK EAST,2
Bronx Park East,BRONX PARK EAST,5
Brook Av,BROOK AV,6
Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,6
Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,5
Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,4
Buhre Av,BUHRE AV,6
Burke Av,BURKE AV,2
Burke Av,BURKE AV,5
Burnside Av,BURNSIDE AV,4
Canal St,CANAL ST,1
Canal St,CANAL ST,C
Canal St,CANAL ST,E
Canal St,CANAL ST,A
Canal St,CANAL ST,W
Canal St,CANAL ST,R
Canal St,CANAL ST,Q
Canal St,CANAL ST,6
Canal St,CANAL ST,N
Canal St,CANAL ST,J
Canal St,CANAL ST,Z
Carroll St,CARROLL ST,G
Carroll St,CARROLL ST,F
Castle Hill Av,CASTLE HILL AV,6
Cathedral Pkwy (110 St),CATHEDRAL PKWY,1
Cathedral Pkwy (110 St),CATHEDRAL PKWY,C
Cathedral Pkwy (110 St),CATHEDRAL PKWY,B
Central Av,CENTRAL AV,M
Central Park North (110 St),CENTRAL PK N110,2
Central Park North (110 St),CENTRAL PK N110,3
Chambers St,CHAMBERS ST,1
Chambers St,CHAMBERS ST,3
Chambers St,CHAMBERS ST,2
Chambers St,CHAMBERS ST,C
Chambers St,CHAMBERS ST,A
Chambers St,CHAMBERS ST,J
Chambers St,CHAMBERS ST,Z
Chauncey St,CHAUNCEY ST,J
Chauncey St,CHAUNCEY ST,Z
Christopher St - Sheridan Sq,CHRISTOPHER ST,1
Church Av,CHURCH AV,2
Church Av,CHURCH AV,5
Church Av,CHURCH AV,Q
Church Av,CHURCH AV,B
Church Av,CHURCH AV,G
Church Av,CHURCH AV,F
City Hall,CITY HALL,W
City Hall,CITY HALL,R
Clark St,CLARK ST,2
Clark St,CLARK ST,3
Classon Av,CLASSON AV,G
Cleveland St,CLEVELAND ST,J
Clinton - Washington Avs,CLINTON-WASH AV,C
Clinton - Washington Avs,CLINTON-WASH AV,G
Coney Island - Stillwell Av,CONEY IS-STILLW,N
Coney Island - Stillwell Av,CONEY IS-STILLW,Q
Coney Island - Stillwell Av,CONEY IS-STILLW,D
Coney Island - Stillwell Av,CONEY IS-STILLW,F
Cortelyou Rd,CORTELYOU RD,Q
Cortlandt St,CORTLANDT ST,R
Cortlandt St,CORTLANDT ST,W
Court Sq,COURT SQ,7
Court Sq - 23 St,COURT SQ,G
Court Sq,COURT SQ-23 ST,E
Court Sq,COURT SQ-23 ST,M
Crescent St,CRESCENT ST,J
Crescent St,CRESCENT ST,Z
Crown Hts - Utica Av,CROWN HTS-UTICA,3
Crown Hts - Utica Av,CROWN HTS-UTICA,4
Crown Hts - Utica Av,CROWN HTS-UTICA,5
Cypress Av,CYPRESS AV,6
Cypress Hills,CYPRESS HILLS,J
DeKalb Av,DEKALB AV,Q
DeKalb Av,DEKALB AV,R
DeKalb Av,DEKALB AV,B
Delancy St - Essex St,DELANCEY/ESSEX,J
Delancy St - Essex St,DELANCEY/ESSEX,Z
Delancey St - Essex St,DELANCEY/ESSEX,F
Delancy St - Essex St,DELANCEY/ESSEX,M
Ditmas Av,DITMAS AV,F
Dyckman St,DYCKMAN ST,1
Dyckman St,DYCKMAN ST,A
E 143 St - St Mary's St,E 143/ST MARY'S,6
E 149 St,E 149 ST,6
E 180 St,E 180 ST,5
E 180 St,E 180 ST,2
East Broadway,EAST BROADWAY,F
Eastchester - Dyre Av,EASTCHSTER/DYRE,5
Eastern Pkwy - Brooklyn Museum,EASTN PKWY-MUSM,2
Eastern Pkwy - Brooklyn Museum,EASTN PKWY-MUSM,3
Elder Av,ELDER AV,6
Elmhurst Av,ELMHURST AV,R
Elmhurst Av,ELMHURST AV,M
Euclid Av,EUCLID AV,A
Euclid Av,EUCLID AV,C
Far Rockaway - Mott Av,FAR ROCKAWAY,A
Flatbush Av - Brooklyn College,FLATBUSH AV-B.C,5
Flatbush Av - Brooklyn College,FLATBUSH AV-B.C,2
Flushing Av,FLUSHING AV,G
Flushing Av,FLUSHING AV,J
Flushing Av,FLUSHING AV,M
Flushing - Main St,FLUSHING-MAIN,7
Fordham Rd,FORDHAM RD,4
Fordham Rd,FORDHAM RD,D
Fordham Rd,FORDHAM RD,B
Forest Av,FOREST AVE,M
Forest Hills - 71 Av,FOREST HILLS 71,E
Forest Hills - 71 Av,FOREST HILLS 71,R
Forest Hills - 71 Av,FOREST HILLS 71,F
Forest Hills - 71 Av,FOREST HILLS 71,M
Franklin Av,FRANKLIN AV,3
Franklin Av,FRANKLIN AV,5
Franklin Av,FRANKLIN AV,2
Franklin Av,FRANKLIN AV,4
Franklin Av,FRANKLIN AV,C
Franklin St,FRANKLIN ST,1
Freeman St,FREEMAN ST,5
Freeman St,FREEMAN ST,2
Fresh Pond Rd,FRESH POND RD,M
Fort Hamilton Pkwy,FT HAMILTON PKY,D
Fort Hamilton Pkwy,FT HAMILTON PKY,G
Fort Hamilton Pkwy,FT HAMILTON PKY,F
Fort Hamilton Pkwy,FT HAMILTON PKY,N
Gates Av,GATES AV,J
Gates Av,GATES AV,Z
Grand Army Plaza,GRAND ARMY PLAZ,3
Grand Army Plaza,GRAND ARMY PLAZ,2
Grand St,GRAND ST,D
Grand St,GRAND ST,B
Grand Av - Newtown,GRAND-NEWTOWN,R
Grand Av - Newtown,GRAND-NEWTOWN,M
Grant Av,GRANT AV,A
Grand Central - 42 St,GRD CNTRL-42 ST,7
Grand Central - 42 St,GRD CNTRL-42 ST,5
Grand Central - 42 St,GRD CNTRL-42 ST,6
Grand Central - 42 St,GRD CNTRL-42 ST,4
Greenpoint Av,GREENPOINT AV,G
Gun Hill Rd,GUN HILL RD,2
Gun Hill Rd,GUN HILL RD,5
Gun Hill Rd,GUN HILL RD,5
Halsey St,HALSEY ST,J
Harlem - 148 St,HARLEM 148 ST,3
Hewes St,HEWES ST,J
Hewes St,HEWES ST,M
High St,HIGH ST,C
High St,HIGH ST,A
Houston St,HOUSTON ST,1
HOWARD BCH JFK,HOWARD BCH JFK,A
Hoyt St,HOYT ST,2
Hoyt St,HOYT ST,3
Hoyt - Schermerhorn Sts,HOYT-SCHER,A
Hoyt - Schermerhorn Sts,HOYT-SCHER,C
Hoyt - Schermerhorn Sts,HOYT-SCHER,G
Hunters Point Av,HUNTERS PT AV,7
Hunts Point Av,HUNTS POINT AV,6
Intervale Av,INTERVALE AV,2
Intervale Av,INTERVALE AV,5
Inwood - 207 St,INWOOD-207 ST,A
Jackson Av,JACKSON AV,5
Jackson Av,JACKSON AV,2
Jamaica - 179 St,JAMAICA 179 ST,F
Jamaica Center - Parsons/Archer,JAMAICA CENTER,J
Jamaica Center - Parsons/Archer,JAMAICA CENTER,E
Jamaica Center - Parsons/Archer,JAMAICA CENTER,Z
Jamaica - Van Wyck,JAMAICA VAN WK,E
Jay St - MetroTech,JAY ST-METROTEC,A
Jay St - MetroTech,JAY ST-METROTEC,C
Jay St - MetroTech,JAY ST-METROTEC,F
Jay St - MetroTech,JAY ST-METROTEC,R
Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,E
Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,R
Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,F
Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,M
Junction Blvd,JUNCTION BLVD,7
Junius St,JUNIUS ST,3
Kew Gardens - Union Tpke,KEW GARDENS,E
Kew Gardens - Union Tpke,KEW GARDENS,F
Kings Hwy,KINGS HWY,Q
Kings Hwy,KINGS HWY,B
Kings Hwy,KINGS HWY,F
Kings Hwy,KINGS HWY,N
Kingsbridge Rd,KINGSBRIDGE RD,4
Kingsbridge Rd,KINGSBRIDGE RD,D
Kingsbridge Rd,KINGSBRIDGE RD,B
Kingston Av,KINGSTON AV,3
Kingston - Throop Avs,KINGSTON-THROOP,C
Knickerbocker Av,KNICKERBOCKER,M
Kosciuszko St,KOSCIUSZKO ST,J
Lafayette Av,LAFAYETTE AV,C
Lexington Av/53 St,LEXINGTON AV/53,E
Lexington Av/53 St,LEXINGTON AV/53,M
Lexington Av/63 St,LEXINGTON AV/63,Q
Lexington Av/63 St,LEXINGTON AV/63,F
Liberty Av,LIBERTY AV,C
Longwood Av,LONGWOOD AV,6
Lorimer St,LORIMER ST,J
Lorimer St,LORIMER ST,M
Marble Hill - 225 St,MARBLE HILL-225,1
Marcy Av,MARCY AV,J
Marcy Av,MARCY AV,Z
Marcy Av,MARCY AV,M
Metropolitan Av,METROPOLITAN AV,G
Middle Village - Metropolitan Av,METROPOLITAN AV,M
Mets - Willets Point,METS-WILLETS PT,7
Middletown Rd,MIDDLETOWN RD,6
Morrison Av- Sound View,MORISN AV/SNDVW,6
Morris Park,MORRIS PARK,5
Mosholu Pkwy,MOSHOLU PKWY,4
Mt Eden Av,MT EDEN AV,4
Myrtle Av,MYRTLE AV,J
Myrtle Av,MYRTLE AV,Z
Myrtle Av,MYRTLE AV,M
Myrtle - Willoughby Avs,MYRTLE-WILLOUGH,G
Myrtle - Wyckoff Avs,MYRTLE-WYCKOFF,M
Nassau Av,NASSAU AV,G
Neck Rd,NECK RD,Q
Neptune Av,NEPTUNE AV,F
Nereid Av,NEREID AV,2
Nereid Av,NEREID AV,5
Nevins St,NEVINS ST,5
Nevins St,NEVINS ST,3
Nevins St,NEVINS ST,2
Nevins St,NEVINS ST,4
New Lots Av,NEW LOTS AV,3
New Utrecht Av,NEW UTRECHT AV,N
62 St,NEW UTRECHT AV,D
Newkirk Av,NEWKIRK AV,2
Newkirk Av,NEWKIRK AV,5
Newkirk Plaza,NEWKIRK PLAZA,Q
Newkirk Plaza,NEWKIRK PLAZA,B
Northern Blvd,NORTHERN BLVD,R
Northern Blvd,NORTHERN BLVD,M
Norwood - 205 St,NORWOOD 205 ST,D
Norwood Av,NORWOOD AV,J
Norwood Av,NORWOOD AV,Z
Nostrand Av,NOSTRAND AV,3
Nostrand Av,NOSTRAND AV,C
Nostrand Av,NOSTRAND AV,A
Ocean Pkwy,OCEAN PKWY,Q
Ozone Park - Lefferts Blvd,OZONE PK LEFFRT,A
Park Pl,PARK PLACE,3
Park Pl,PARK PLACE,2
Parkchester,PARKCHESTER,6
Parkside Av,PARKSIDE AV,Q
Parsons Blvd,PARSONS BLVD,F
Pelham Bay Park,PELHAM BAY PARK,6
Pelham Pkwy,PELHAM PKWY,2
Pelham Pkwy,PELHAM PKWY,5
Pelham Pkwy,PELHAM PKWY,5
Pennsylvania Av,PENNSYLVANIA AV,3
President St,PRESIDENT ST,5
President St,PRESIDENT ST,2
Prince St,PRINCE ST,R
Prince St,PRINCE ST,W
Prospect Av,PROSPECT AV,2
Prospect Av,PROSPECT AV,5
Prospect Av,PROSPECT AV,R
Prospect Park,PROSPECT PARK,Q
Prospect Park,PROSPECT PARK,B
Queens Plaza,QUEENS PLAZA,R
Queens Plaza,QUEENS PLAZA,E
Queens Plaza,QUEENS PLAZA,M
Queensboro Plaza,QUEENSBORO PLZ,7
Queensboro Plaza,QUEENSBORO PLZ,W
Queensboro Plaza,QUEENSBORO PLZ,N
Ralph Av,RALPH AV,C
Rector St,RECTOR ST,1
Rector St,RECTOR ST,W
Rector St,RECTOR ST,R
Rockaway Av,ROCKAWAY AV,3
Rockaway Av,ROCKAWAY AV,C
Rockaway Blvd,ROCKAWAY BLVD,A
Roosevelt Island,ROOSEVELT ISLND,F
Saratoga Av,SARATOGA AV,3
Seneca Av,SENECA AVE,M
Sheepshead Bay,SHEEPSHEAD BAY,Q
Sheepshead Bay,SHEEPSHEAD BAY,B
Shepherd Av,SHEPHERD AV,C
Simpson St,SIMPSON ST,2
Simpson St,SIMPSON ST,5
Smith - 9 Sts,SMITH-9 ST,G
Smith - 9 Sts,SMITH-9 ST,F
South Ferry,SOUTH FERRY,1
Spring St,SPRING ST,6
Spring St,SPRING ST,C
Spring St,SPRING ST,E
St Lawrence Av,ST LAWRENCE AV,6
Steinway St,STEINWAY ST,R
Steinway St,STEINWAY ST,M
Sterling St,STERLING ST,5
Sterling St,STERLING ST,2
Sutphin Blvd,SUTPHIN BLVD,F
Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,E
Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,J
Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,Z
Sutter Av - Rutland Rd,SUTTER AV-RUTLD,3
Tremont Av,TREMONT AV,D
Tremont Av,TREMONT AV,B
Union St,UNION ST,R
Utica Av,UTICA AV,A
Utica Av,UTICA AV,C
Van Cortlandt Park - 242 St,V.CORTLANDT PK,1
Van Siclen Av,VAN SICLEN AV,3
Van Siclen Av,VAN SICLEN AV,J
Van Siclen Av,VAN SICLEN AV,Z
Van Siclen Av,VAN SICLEN AVE,C
Vernon Blvd - Jackson Av,VERNON-JACKSON,7
W 4 St - Wash Sq,W 4 ST-WASH SQ,C
W 4 St - Wash Sq,W 4 ST-WASH SQ,E
W 4 St - Wash Sq,W 4 ST-WASH SQ,A
W 4 St - Wash Sq,W 4 ST-WASH SQ,D
W 4 St - Wash Sq,W 4 ST-WASH SQ,F
W 4 St - Wash Sq,W 4 ST-WASH SQ,M
W 4 St - Wash Sq,W 4 ST-WASH SQ,B
W 8 St - NY Aquarium,W 8 ST-AQUARIUM,Q
W 8 St - NY Aquarium,W 8 ST-AQUARIUM,F
Wakefield - 241 St,WAKEFIELD/241,2
Wall St,WALL ST,3
Wall St,WALL ST,2
Wall St,WALL ST,5
Wall St,WALL ST,4
West Farms Sq - E Tremont Av,WEST FARMS SQ,2
West Farms Sq - E Tremont Av,WEST FARMS SQ,5
Westchester Sq - E Tremont Av,WESTCHESTER SQ,6
Whitehall St - South Ferry,WHITEHALL S-FRY,R
Whitehall St - South Ferry,WHITEHALL S-FRY,W
Whitlock Av,WHITLOCK AV,6
Winthrop St,WINTHROP ST,2
Winthrop St,WINTHROP ST,5
Woodhaven Blvd,WOODHAVEN BLVD,J
Woodhaven Blvd,WOODHAVEN BLVD,Z
Woodhaven Blvd,WOODHAVEN BLVD,R
Woodhaven Blvd,WOODHAVEN BLVD,M
Woodlawn,WOODLAWN,4
World Trade Center,WORLD TRADE CTR,E
Cortlandt St,WTC-CORTLANDT,1
York St,YORK ST,F
Zerega Av,ZEREGA AV,6
14 St - Union Sq,14 ST-UNION SQ,Q
14 St - Union Sq,14 ST-UNION SQ,N
14 St - Union Sq,14 ST-UNION SQ,W
14 St - Union Sq,14 ST-UNION SQ,R
14 St - Union Sq,14 ST-UNION SQ,6
14 St - Union Sq,14 ST-UNION SQ,5
14 St - Union Sq,14 ST-UNION SQ,4
161 St - Yankee Stadium,161/YANKEE STAD,4
161 St - Yankee Stadium,161/YANKEE STAD,D
161 St - Yankee Stadium,161/YANKEE STAD,B
168 St,168 ST,A
168 St - Washington Hts,168 ST,1
168 St,168 ST,C
34 St - Penn Station,34 ST-PENN STA,1
34 St - Penn Station,34 ST-PENN STA,2
34 St - Penn Station,34 ST-PENN STA,3
34 St - Penn Station,34 ST-PENN STA,E
34 St - Penn Station,34 ST-PENN STA,A
34 St - Penn Station,34 ST-PENN STA,C
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,A
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,E
42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,C
59 St,59 ST,5
Lexington Av/59 St,59 ST,N
59 St,59 ST,6
59 St,59 ST,R
Lexington Av/59 St,59 ST,R
Lexington Av/59 St,59 ST,W
59 St,59 ST,N
59 St,59 ST,4
59 St - Columbus Circle,59 ST COLUMBUS,A
59 St - Columbus Circle,59 ST COLUMBUS,1
59 St - Columbus Circle,59 ST COLUMBUS,C
59 St - Columbus Circle,59 ST COLUMBUS,D
59 St - Columbus Circle,59 ST COLUMBUS,B
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,3
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,R
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,5
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,N
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,Q
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,4
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,D
Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,B
Court St,BOROUGH HALL,R
Borough Hall,BOROUGH HALL,2
Borough Hall,BOROUGH HALL,5
Borough Hall,BOROUGH HALL,3
Borough Hall,BOROUGH HALL,4
Fulton St,FULTON ST,J
Fulton St,FULTON ST,Z
Fulton St,FULTON ST,3
Fulton St,FULTON ST,C
Fulton St,FULTON ST,5
Fulton St,FULTON ST,2
Fulton St,FULTON ST,A
Fulton St,FULTON ST,4
Fulton St,FULTON ST,G
Times Sq - 42 St,TIMES SQ-42 ST,1
Times Sq - 42 St,TIMES SQ-42 ST,2
Times Sq - 42 St,TIMES SQ-42 ST,3
Times Sq - 42 St,TIMES SQ-42 ST,7
Times Sq - 42 St,TIMES SQ-42 ST,R
Times Sq - 42 St,TIMES SQ-42 ST,W
Times Sq - 42 St,TIMES SQ-42 ST,N
Times Sq - 42 St,TIMES SQ-42 ST,Q
