STATION,route_id,hr,crowd
5 AV/53 ST,E,9,1.3333333333333333
GRD CNTRL-42 ST,7,9,47.714285714285715
EAST BROADWAY,F,9,
SPRING ST,4,9,4.666666666666667
SPRING ST,6,9,8.333333333333334
116 ST,3,9,0.0
103 ST,1,9,70.0
PARK PLACE,2,9,59.0
21 ST-QNSBRIDGE,F,9,
VAN SICLEN AV,4,9,39.833333333333336
14TH STREET,1,9,41.5
CYPRESS HILLS,J,9,40.333333333333336
BROADWAY,G,9,16.0
DEKALB AV,D,9,
23 ST,A,9,69.25
103 ST,6,9,41.0
ELMHURST AV,M,9,
PARSONS BLVD,F,9,39.666666666666664
ELDER AV,6,9,53.0
23 ST,F,9,
47-50 STS ROCK,F,9,
GRAND ARMY PLAZ,4,9,27.2
23 ST,E,9,11.0
157 ST,1,9,58.0
CYPRESS AV,6,9,55.8
47-50 STS ROCK,D,9,
BROADWAY,N,9,10.666666666666666
BRONX PARK EAST,2,9,111.16666666666667
PELHAM BAY PARK,6,9,55.333333333333336
SMITH-9 ST,F,9,
ELMHURST AV,E,9,20.5
46 ST,R,9,
168 ST,A,9,147.8
E 180 ST,2,10,57.22222222222222
86 ST,6,10,13.0
WTC-CORTLANDT,1,10,26.214285714285715
UTICA AV,A,10,50.357142857142854
125 ST,A,10,87.9375
30 AV,N,10,7.5
72 ST,2,10,81.14285714285714
86 ST,Q,10,0.0
AVENUE N,F,10,
DYCKMAN ST,A,10,71.14285714285714
V.CORTLANDT PK,1,10,78.66666666666667
VERNON-JACKSON,7,10,22.642857142857142
LORIMER ST,J,10,5.333333333333333
WALL ST,5,10,5.5
125 ST,3,10,12.5
KINGSTON-THROOP,A,10,53.5
21 ST-QNSBRIDGE,F,10,
CRESCENT ST,J,10,19.333333333333332
MORISN AV/SNDVW,6,10,17.428571428571427
125 ST,D,10,73.5
CYPRESS AV,6,10,30.857142857142858
33 ST,6,10,7.666666666666667
72 ST,1,10,77.375
86 ST,2,10,16.0
SPRING ST,6,10,1.0
FOREST HILLS 71,F,10,30.25
174 ST,5,10,7.0
VAN SICLEN AV,3,10,1.5
23 ST,N,10,
ROCKAWAY AV,3,10,17.4
LEXINGTON AV/53,E,10,14.0
CHURCH AV,Q,10,
CHAMBERS ST,J,10,3.0
96 ST-2 AVE,Q,10,6.0
7 AV,E,10,
ROCKAWAY AV,4,10,95.0
86 ST,1,10,34.625
CLARK ST,2,10,117.71428571428571
137 ST CITY COL,1,10,84.85714285714286
3 AV-149 ST,2,10,77.9
DITMAS AV,F,10,
COURT SQ-23 ST,M,10,13.0
72 ST,A,10,69.4
KINGSTON AV,4,10,17.5
AVENUE J,Q,10,
JKSN HT-ROOSVLT,E,10,26.6
AVENUE I,F,10,
145 ST,3,10,0.0
23 ST,E,10,10.5
FOREST AVE,M,10,5.8
215 ST,1,10,53.2
CLARK ST,3,10,35.833333333333336
149/GRAND CONC,5,10,18.6
8 ST-NYU,N,10,
DYCKMAN ST,1,10,61.333333333333336
KINGS HWY,F,10,
CITY HALL,R,10,
JAY ST-METROTEC,R,10,
72 ST,3,10,12.666666666666666
AVENUE M,Q,10,
3 AV-149 ST,5,10,28.0
WORLD TRADE CTR,E,10,0.0
FOREST HILLS 71,E,10,17.2
103 ST,6,10,20.166666666666668
EAST BROADWAY,F,10,
ROCKAWAY AV,A,10,58.875
86 ST-2 AVE,N,10,18.0
LEXINGTON AV/53,M,10,5.0
EUCLID AV,A,10,54.5
MIDDLETOWN RD,6,10,12.444444444444445
18 AV,D,10,
103 ST,1,10,71.125
CHURCH AV,G,10,0.0
KOSCIUSZKO ST,J,10,9.333333333333334
MOSHOLU PKWY,4,10,2.0
CHRISTOPHER ST,2,10,2.0
104 ST,J,10,34.25
RALPH AV,A,10,64.16666666666667
KINGS HWY,N,10,
86 ST,A,10,68.0
23 ST,M,10,
CROWN HTS-UTICA,3,10,18.8
RECTOR ST,1,10,12.5
207 ST,1,10,47.166666666666664
7 AV,G,10,
CHURCH AV,2,10,107.875
125 ST,2,10,84.5
ELMHURST AV,E,10,
34 ST-HERALD SQ,D,10,
34 ST-HERALD SQ,F,10,
96 ST,A,10,64.0
E 149 ST,6,10,29.666666666666668
LONGWOOD AV,6,10,23.5
34 ST-HERALD SQ,M,10,
FRANKLIN AV,FS,10,0.875
CHAUNCEY ST,J,10,15.25
CHRISTOPHER ST,1,10,36.1
ELMHURST AV,M,10,
ELMHURST AV,R,10,
20 AV,N,10,
FRANKLIN AV,A,10,53.57142857142857
LAFAYETTE AV,A,10,60.5
SPRING ST,A,10,58.166666666666664
JAY ST-METROTEC,A,10,62.857142857142854
AVENUE U,N,10,0.0
7 AV,F,10,
FOREST HILLS 71,M,10,3.0
86 ST,5,10,10.375
SIMPSON ST,2,10,72.45454545454545
86 ST,N,10,0.0
8 AV,E,10,4.666666666666667
FOREST HILLS 71,R,10,0.0
KNICKERBOCKER,M,10,10.2
RECTOR ST,R,10,
AVENUE U,Q,10,
AVENUE U,F,10,
86 ST,4,10,15.5
21 ST,G,10,0.75
JAY ST-METROTEC,F,10,
MORRIS PARK,5,10,2.25
VAN SICLEN AV,J,10,18.666666666666668
14TH STREET,2,10,74.4090909090909
AVENUE P,F,10,
34 ST-HERALD SQ,N,10,
CROWN HTS-UTICA,4,10,21.571428571428573
71 ST,D,10,
SIMPSON ST,5,10,9.5
163 ST-AMSTERDM,A,10,108.4
SUTPHIN-ARCHER,E,10,2.0
23 ST,F,10,
96 ST,6,10,23.0
WAKEFIELD/241,2,10,93.0
E 180 ST,5,10,9.25
33 ST-RAWSON ST,7,10,23.346153846153847
MT EDEN AV,4,10,18.8125
145 ST,1,10,58.9
190 ST,A,10,69.42857142857143
WEST FARMS SQ,5,10,6.833333333333333
157 ST,1,10,52.6
CHURCH AV,F,10,
155 ST,D,10,85.5
E 143/ST MARY'S,6,10,26.0
METS-WILLETS PT,7,10,7.65
103 ST,A,10,68.0
104 ST,A,10,9.666666666666666
EASTN PKWY-MUSM,4,10,13.5
DEKALB AV,Q,10,
25 ST,R,10,
UNION ST,D,10,
KEW GARDENS,F,10,26.4
CONEY IS-STILLW,Q,10,5.6
174-175 STS,D,10,14.0
135 ST,2,10,78.0
25 ST,N,10,
LEXINGTON AV/63,Q,10,
79 ST,2,10,55.0
ST LAWRENCE AV,6,10,32.333333333333336
YORK ST,F,10,
77 ST,6,10,9.428571428571429
25 ST,D,10,
231 ST,1,10,34.111111111111114
FLATBUSH AV-B.C,2,10,245.5
FLUSHING AV,M,10,25.6
ASTORIA BLVD,N,10,1.75
SOUTH FERRY,1,10,45.2
MARCY AV,M,10,31.4
161/YANKEE STAD,D,10,70.0
135 ST,A,10,83.71428571428571
15 ST-PROSPECT,F,10,
ALLERTON AV,2,10,88.4
28 ST,1,10,82.0
79 ST,D,10,
149/GRAND CONC,2,10,59.44444444444444
75 ST-ELDERTS,J,10,23.0
145 ST,A,10,103.33333333333333
23 ST,1,10,70.75
125 ST,4,10,21.6
JUNIUS ST,3,10,16.0
CONEY IS-STILLW,F,10,0.0
SARATOGA AV,3,10,20.6
JUNIUS ST,4,10,3.0
COURT SQ,G,10,0.0
96 ST,1,10,50.642857142857146
AQUEDUCT RACETR,A,10,8.333333333333334
SMITH-9 ST,G,10,
MARBLE HILL-225,1,10,48.0
238 ST,1,10,19.5
AQUEDUCT N.COND,A,10,150.0
138/GRAND CONC,4,10,23.7
233 ST,2,10,6.428571428571429
DEKALB AV,D,10,
125 ST,5,10,9.666666666666666
WALL ST,3,10,31.7
SUTPHIN-ARCHER,J,10,15.0
96 ST,3,10,17.8
125 ST,6,10,31.444444444444443
COURT SQ,7,10,24.333333333333332
79 ST,1,10,66.0
KEW GARDENS,E,10,20.6
CORTLANDT ST,R,10,
KINGSBRIDGE RD,4,10,10.9
23 ST,6,10,3.2
ASTOR PL,6,10,2.8333333333333335
23 ST,A,10,72.0
SHEEPSHEAD BAY,Q,10,25.0
MARCY AV,J,10,5.333333333333333
23 ST,2,10,94.0
80 ST,A,10,53.7
SPRING ST,E,10,2.0
ASTORIA DITMARS,N,10,0.0
FLUSHING AV,J,10,6.333333333333333
UNION ST,N,10,
25 AV,D,10,7.6
SARATOGA AV,4,10,50.5
8 ST-NYU,R,10,
96 ST,2,10,96.77777777777777
SENECA AVE,M,10,8.0
77 ST,R,10,
CORTELYOU RD,Q,10,
JUNCTION BLVD,7,10,21.03846153846154
FLUSHING-MAIN,7,10,0.0
ROOSEVELT ISLND,F,10,
JKSN HT-ROOSVLT,M,10,
18 AV,F,10,
219 ST,2,10,34.125
28 ST,R,10,
EASTN PKWY-MUSM,3,10,40.4
SUTTER AV-RUTLD,4,10,29.0
TREMONT AV,D,10,14.6
175 ST,A,10,80.0
74 ST-BROADWAY,7,10,26.4
ATL AV-BARCLAY,4,10,60.4375
LEXINGTON AV/63,F,10,
SMITH-9 ST,F,10,
ROCKAWAY PARK B,H,10,0.0
TIMES SQ-42 ST,1,10,55.75
135 ST,3,10,19.6
WESTCHESTER SQ,6,10,26.0
CLEVELAND ST,J,10,
SUTTER AV-RUTLD,3,10,12.666666666666666
2 AV,F,10,
85 ST-FOREST PK,J,10,22.25
3 AV 138 ST,6,10,28.285714285714285
8 AV,A,10,82.14285714285714
EASTN PKWY-MUSM,2,10,76.66666666666667
VAN SICLEN AV,4,10,57.0
SHEPHERD AV,A,10,62.0
ROCKAWAY BLVD,A,10,64.3125
METROPOLITAN AV,M,10,0.0
CLASSON AV,G,10,9.0
FORDHAM RD,D,10,12.333333333333334
JKSN HT-ROOSVLT,F,10,55.8
SOUTH FERRY,R,10,
AVENUE H,Q,10,
FAR ROCKAWAY,A,10,8.0
DELANCEY/ESSEX,F,10,
ALABAMA AV,J,10,15.0
72 ST-2 AVE,Q,10,17.0
88 ST,A,10,45.888888888888886
20 AV,D,10,
CLINTON-WASH AV,A,10,42.25
191 ST,1,10,58.333333333333336
ATL AV-BARCLAY,2,10,117.77777777777777
VAN SICLEN AVE,A,10,60.5
WEST FARMS SQ,2,10,83.55555555555556
225 ST,2,10,42.5
ZEREGA AV,6,10,25.875
28 ST,2,10,84.0
WALL ST,4,10,28.454545454545453
75 AV,F,10,27.4
LIBERTY AV,A,10,51.166666666666664
90 ST-ELMHURST,7,10,23.76923076923077
CONEY IS-STILLW,D,10,0.0
ELDER AV,6,10,20.833333333333332
KINGSBRIDGE RD,D,10,8.5
81 ST-MUSEUM,A,10,72.0
KINGS HWY,Q,10,
28 ST,6,10,5.0
KINGSTON AV,3,10,17.4
9 AV,D,10,
28 ST,N,10,
DEKALB AV,R,10,
82 ST-JACKSON H,7,10,23.76923076923077
JKSN HT-ROOSVLT,R,10,
WALL ST,2,10,122.5
FORDHAM RD,4,10,18.142857142857142
CYPRESS HILLS,J,10,21.0
14TH STREET,1,10,54.18181818181818
8 AV,N,10,
23 ST,R,10,
75 AV,E,10,21.0
LORIMER ST,M,10,24.8
COURT SQ-23 ST,E,10,25.75
ATL AV-BARCLAY,3,10,49.2
103 ST-CORONA,7,10,17.142857142857142
METROPOLITAN AV,G,10,5.5
CLINTON-WASH AV,G,10,8.25
FLUSHING AV,G,10,4.5
W 4 ST-WASH SQ,F,10,
NEW LOTS AV,3,10,7.0
FULTON ST,J,10,0.0
57 ST-7 AV,R,10,
BROOKLYN BRIDGE,6,10,0.0
42 ST-PORT AUTH,E,10,38.5
NEW UTRECHT AV,N,10,
14 ST,M,10,
WOODHAVEN BLVD,R,10,
BEACH 98 ST,H,10,0.0
14 ST,2,10,115.5
PENNSYLVANIA AV,4,10,39.0
42 ST-PORT AUTH,A,10,70.07142857142857
59 ST,N,10,79.22222222222223
BUHRE AV,6,10,17.88888888888889
FULTON ST,G,10,6.25
HOYT-SCHER,A,10,51.75
NEW LOTS AV,4,10,72.0
PRESIDENT ST,2,10,109.85714285714286
BURKE AV,2,10,42.75
BEACH 90 ST,H,10,0.4
42 ST-BRYANT PK,M,10,
SUTPHIN BLVD,F,10,11.6
BEDFORD PK BLVD,4,10,10.357142857142858
HOYT ST,3,10,36.6
PENNSYLVANIA AV,3,10,5.4
BROOKLYN BRIDGE,5,10,6.5
PELHAM BAY PARK,6,10,35.666666666666664
NEWKIRK PLAZA,Q,10,
BROOK AV,6,10,30.857142857142858
18 ST,2,10,123.0
BEDFORD-NOSTRAN,G,10,10.25
UNION ST,R,10,
111 ST,J,10,32.0
46 ST,M,10,12.0
46 ST,E,10,
W 4 ST-WASH SQ,E,10,5.333333333333333
BURNSIDE AV,4,10,18.818181818181817
57 ST-7 AV,N,10,139.25
BROOKLYN BRIDGE,4,10,30.7
HOYT ST,2,10,94.71428571428571
NEWKIRK AV,2,10,120.91666666666667
GATES AV,J,10,11.333333333333334
BEDFORD PK BLVD,D,10,12.0
45 ST,R,10,
45 ST,N,10,
57 ST-7 AV,Q,10,
182-183 STS,D,10,11.2
WINTHROP ST,2,10,104.0
PELHAM PKWY,2,10,43.05333333333333
59 ST,R,10,
FULTON ST,A,10,32.57142857142857
116 ST-COLUMBIA,1,10,99.0
CANAL ST,E,10,1.0
NEVINS ST,3,10,29.1
4 AV-9 ST,G,10,
WOODLAWN,4,10,24.0
59 ST COLUMBUS,D,10,57.5
BEACH 36 ST,A,10,70.8
PROSPECT AV,2,10,82.45454545454545
WHITLOCK AV,6,10,26.0
HUNTS POINT AV,6,10,25.22222222222222
NEVINS ST,2,10,109.1875
170 ST,D,10,15.8
CANAL ST,J,10,6.5
BEACH 25 ST,A,10,65.0
4 AV-9 ST,F,10,
61 ST WOODSIDE,7,10,26.884615384615383
FULTON ST,2,10,113.6
PROSPECT AV,5,10,7.25
CANAL ST,R,10,
INTERVALE AV,2,10,77.5
BEACH 105 ST,H,10,0.0
39 AV,N,10,2.0
14 ST,1,10,92.3409090909091
FULTON ST,3,10,44.0
46 ST,R,10,
PRINCE ST,R,10,
BEACH 44 ST,A,10,70.8
CANAL ST,1,10,27.4
42 ST-BRYANT PK,F,10,
TIMES SQ-42 ST,2,10,108.6
HOYT-SCHER,G,10,5.75
BEACH 67 ST,A,10,64.25
FULTON ST,5,10,5.666666666666667
PRINCE ST,N,10,
59 ST COLUMBUS,1,10,62.375
CANAL ST,2,10,1.0
111 ST,A,10,5.0
14 ST-UNION SQ,N,10,
NEVINS ST,4,10,26.136363636363637
42 ST-BRYANT PK,D,10,
BEACH 60 ST,A,10,72.8
W 8 ST-AQUARIUM,F,10,
STEINWAY ST,R,10,
CANAL ST,A,10,41.666666666666664
59 ST COLUMBUS,2,10,94.0
FULTON ST,4,10,24.38888888888889
40 ST LOWERY ST,7,10,25.928571428571427
59 ST COLUMBUS,A,10,71.42857142857143
HUNTERS PT AV,7,10,23.142857142857142
167 ST,D,10,19.2
18 ST,1,10,62.166666666666664
BERGEN ST,2,10,90.28571428571429
GRAND ARMY PLAZ,2,10,99.18181818181819
HEWES ST,J,10,5.666666666666667
BOROUGH HALL,2,10,107.5
5 AV/53 ST,E,10,10.8
14 ST,E,10,4.0
14 ST,A,10,79.85714285714286
WOODHAVEN BLVD,J,10,
PARK PLACE,3,10,38.25
50 ST,D,10,
BLEECKER ST,6,10,4.5
NOSTRAND AV,3,10,20.0
BRIARWOOD,E,10,16.2
116 ST,6,10,27.666666666666668
4AV-9 ST,G,10,
NORWOOD AV,J,10,18.333333333333332
GRANT AV,A,10,58.75
BRIARWOOD,F,10,12.8
50 ST,E,10,45.0
TIMES SQ-42 ST,N,10,136.0
HEWES ST,M,10,24.8
4AV-9 ST,F,10,
BEVERLY RD,2,10,93.83333333333333
GRD CNTRL-42 ST,7,10,14.933333333333334
BOWLING GREEN,5,10,0.0
BOROUGH HALL,3,10,38.0
50 ST,A,10,57.833333333333336
5 AVE,7,10,10.208333333333334
BOROUGH HALL,R,10,130.5
GUN HILL RD,2,10,72.35714285714286
5 AV/59 ST,R,10,
WOODHAVEN BLVD,E,10,
OCEAN PKWY,Q,10,27.0
NOSTRAND AV,A,10,47.5625
BOTANIC GARDEN,FS,10,0.7
OZONE PK LEFFRT,A,10,3.0
BOWERY,J,10,5.25
PARK PLACE,FS,10,2.375
5 AV/59 ST,N,10,90.33333333333333
169 ST,F,10,2.0
GREENPOINT AV,G,10,6.75
HALSEY ST,J,10,14.5
NOSTRAND AV,4,10,22.666666666666668
BOROUGH HALL,4,10,19.77777777777778
BOWLING GREEN,4,10,20.4
5 AV/53 ST,M,10,0.0
181 ST,A,10,74.71428571428571
PARK PLACE,2,10,132.77777777777777
116 ST,3,10,21.0
50 ST,1,10,96.5
BRIGHTON BEACH,Q,10,26.0
TIMES SQ-42 ST,7,10,8.75
GRAND-NEWTOWN,R,10,
14 ST,F,10,
53 ST,R,10,
WOODHAVEN BLVD,M,10,
BERGEN ST,4,10,14.5
168 ST,A,10,149.4375
47-50 STS ROCK,F,10,
170 ST,4,10,20.25
NORTHERN BLVD,M,10,11.0
BROADWAY,G,10,6.25
NORTHERN BLVD,E,10,
GRAND ST,D,10,
GRAND ARMY PLAZ,4,10,14.0
47-50 STS ROCK,D,10,
55 ST,D,10,
BROADWAY,N,10,7.75
BERGEN ST,3,10,33.5
GRAND ARMY PLAZ,3,10,40.0
HOUSTON ST,2,10,3.0
116 ST,A,10,66.58333333333333
BRONX PARK EAST,2,10,53.90909090909091
14 ST,3,10,52.583333333333336
HOWARD BCH JFK,A,10,87.375
PARSONS BLVD,F,10,9.2
57 ST,F,10,
PARKSIDE AV,Q,10,
47-50 STS ROCK,M,10,
BROAD CHANNEL,A,10,79.16666666666667
49 ST,R,10,
51 ST,6,10,3.1666666666666665
HIGH ST,A,10,45.916666666666664
BEVERLEY ROAD,Q,10,
STERLING ST,2,10,124.83333333333333
49 ST,Q,10,
NORWOOD 205 ST,D,10,0.0
181 ST,1,10,45.875
GRAND-NEWTOWN,M,10,
53 ST,N,10,
W 4 ST-WASH SQ,M,10,
GRAND-NEWTOWN,E,10,
52 ST,7,10,27.307692307692307
BERGEN ST,G,10,
BROAD CHANNEL,H,10,0.0
49 ST,N,10,136.0
116 ST,2,10,64.07142857142857
NORTHERN BLVD,R,10,
HOUSTON ST,1,10,39.2
BERGEN ST,F,10,
BROAD ST,J,10,0.0
PARKCHESTER,6,10,28.25
W 4 ST-WASH SQ,D,10,
176 ST,4,10,21.333333333333332
66 ST-LINCOLN,2,10,31.0
FREEMAN ST,2,10,62.3125
65 ST,M,10,11.0
BAY PKWY,F,10,
34 ST-PENN STA,A,10,77.75
125 ST,1,10,52.2
69 ST,7,10,26.833333333333332
174 ST,2,10,63.333333333333336
15 ST-PROSPECT,G,10,
138/GRAND CONC,5,10,10.75
B'WAY-LAFAYETTE,D,10,
QUEENS PLAZA,R,10,
INWOOD-207 ST,A,10,44.0
BAY RIDGE AV,R,10,
FRANKLIN ST,2,10,4.0
34 ST-PENN STA,1,10,76.0
PROSPECT AV,R,10,
NASSAU AV,G,10,5.25
FT HAMILTON PKY,D,10,
CARROLL ST,G,10,
36 ST,E,10,
PROSPECT AV,N,10,
WHITEHALL S-FRY,R,10,
36 ST,M,10,18.0
CHAMBERS ST,3,10,45.666666666666664
CHAMBERS ST,1,10,20.833333333333332
167 ST,4,10,20.0
65 ST,E,10,
STEINWAY ST,M,10,18.0
36 AV,N,10,7.75
JAMAICA CENTER,E,10,22.0
PROSPECT PARK,FS,10,1.375
34 ST-PENN STA,E,10,33.5
68ST-HUNTER CO,6,10,4.142857142857143
FT HAMILTON PKY,F,10,
155 ST,A,10,107.5
QUEENS PLAZA,M,10,14.0
NECK RD,Q,10,29.0
CENTRAL AV,M,10,15.833333333333334
BAY PKWY,N,10,
CHAMBERS ST,2,10,112.54545454545455
66 ST-LINCOLN,1,10,37.6875
B'WAY-LAFAYETTE,M,10,29.75
CASTLE HILL AV,6,10,21.9
JACKSON AV,2,10,72.44444444444444
34 ST-HUDSON YD,7,10,5.111111111111111
B'WAY-LAFAYETTE,F,10,
MYRTLE AV,M,10,20.6
65 ST,R,10,
14TH STREET,3,10,16.666666666666668
14 ST-UNION SQ,R,10,
67 AV,M,10,0.0
JAMAICA CENTER,J,10,17.2
CATHEDRAL PKWY,1,10,115.33333333333333
14 ST-UNION SQ,Q,10,
FT HAMILTON PKY,G,10,0.0
FREEMAN ST,5,10,6.5
JACKSON AV,5,10,11.6
34 ST-HERALD SQ,R,10,
W 8 ST-AQUARIUM,Q,10,0.0
CATHEDRAL PKWY,A,10,68.14285714285714
63 DR-REGO PARK,R,10,
183 ST,4,10,17.3
CENTRAL PK N110,3,10,15.333333333333334
BAYCHESTER AV,5,10,0.0
CENTRAL PK N110,2,10,90.1
FRANKLIN ST,1,10,21.25
67 AV,E,10,
STEINWAY ST,E,10,
CHAMBERS ST,A,10,45.07142857142857
34 ST-HERALD SQ,Q,10,
121 ST,J,10,31.4
34 ST-PENN STA,2,10,99.75
36 ST,R,10,
INTERVALE AV,5,10,6.2
7 AV,D,10,
MYRTLE-WILLOUGH,G,10,7.5
63 DR-REGO PARK,M,10,
NEPTUNE AV,F,10,
PROSPECT AV,D,10,
18 AV,N,10,
AVENUE X,F,10,
FRESH POND RD,M,10,3.0
PROSPECT PARK,Q,10,
63 DR-REGO PARK,E,10,
110 ST,6,10,22.2
BAY 50 ST,D,10,3.8
MYRTLE AV,J,10,7.666666666666667
JAMAICA 179 ST,F,10,0.0
TIMES SQ-42 ST,R,10,
JAMAICA VAN WK,E,10,19.25
TIMES SQ-42 ST,3,10,13.0
111 ST,7,10,11.153846153846153
QUEENS PLAZA,E,10,26.5
TIMES SQ-42 ST,Q,10,
BAY PKWY,D,10,
NEREID AV,2,10,31.875
QUEENSBORO PLZ,7,10,25.5
67 AV,R,10,0.0
34 ST-PENN STA,3,10,5.6
CARROLL ST,F,10,
FT HAMILTON PKY,N,10,
BAY RIDGE-95 ST,R,10,0.0
W 4 ST-WASH SQ,A,10,53.57142857142857
90 ST-ELMHURST,7,11,16.61764705882353
JAMAICA CENTER,E,11,98.0
B'WAY-LAFAYETTE,M,11,6.0
CENTRAL PK N110,3,11,12.166666666666666
96 ST,3,11,34.57142857142857
HIGH ST,A,11,84.76923076923077
GRAND-NEWTOWN,M,11,
WEST FARMS SQ,2,11,47.2
KINGSTON AV,3,11,91.0
9 AV,D,11,
174 ST,5,11,16.428571428571427
BEVERLEY ROAD,Q,11,
FOREST HILLS 71,M,11,2.8
BERGEN ST,F,11,
CHURCH AV,G,11,0.0
HOUSTON ST,1,11,33.357142857142854
KINGSBRIDGE RD,4,11,14.727272727272727
BROAD CHANNEL,A,11,57.2
BAY 50 ST,D,11,1.1428571428571428
96 ST,1,11,106.75
JAY ST-METROTEC,F,11,
CHAMBERS ST,1,11,31.5
BROAD CHANNEL,H,11,0.0
FOREST HILLS 71,R,11,0.0
BROAD ST,J,11,0.2
96 ST,2,11,48.625
GRAND ST,D,11,
BERGEN ST,G,11,
DEKALB AV,Q,11,
DEKALB AV,D,11,
116 ST,2,11,51.6
125 ST,1,11,70.0
AVENUE P,F,11,
CHURCH AV,F,11,
AVENUE U,F,11,
168 ST,A,11,151.28846153846155
UNION ST,D,11,
FREEMAN ST,2,11,51.5
175 ST,A,11,104.58333333333333
125 ST,6,11,15.615384615384615
KINGSBRIDGE RD,D,11,3.5
FREEMAN ST,5,11,19.5
88 ST,A,11,45.0
TIMES SQ-42 ST,N,11,70.6
E 143/ST MARY'S,6,11,10.428571428571429
116 ST,3,11,32.0
UNION ST,R,11,
BOROUGH HALL,4,11,26.25
JAMAICA VAN WK,E,11,21.2
86 ST,N,11,0.0
KNICKERBOCKER,M,11,9.0
E 180 ST,5,11,11.75
CHAUNCEY ST,J,11,14.4
103 ST,1,11,112.27777777777777
UTICA AV,A,11,66.53846153846153
CHAMBERS ST,3,11,28.5
155 ST,D,11,102.16666666666667
GRD CNTRL-42 ST,7,11,12.25
HARLEM 148 ST,3,11,19.2
BOROUGH HALL,3,11,53.4
BOWLING GREEN,4,11,24.928571428571427
HALSEY ST,J,11,13.6
TIMES SQ-42 ST,R,11,
GREENPOINT AV,G,11,6.6
GUN HILL RD,2,11,17.555555555555557
WALL ST,5,11,12.666666666666666
BOROUGH HALL,R,11,
CHAMBERS ST,J,11,3.2
WORLD TRADE CTR,E,11,0.0
E 180 ST,2,11,50.666666666666664
E 149 ST,6,11,13.625
AVENUE U,Q,11,
FRANKLIN ST,1,11,30.545454545454547
BOTANIC GARDEN,FS,11,0.5
CHAMBERS ST,A,11,95.54166666666667
FRANKLIN AV,FS,11,0.0
BOWERY,J,11,7.166666666666667
86 ST,A,11,67.25
KOSCIUSZKO ST,J,11,11.4
AVENUE X,F,11,
169 ST,F,11,1.8
BOWLING GREEN,5,11,7.555555555555555
163 ST-AMSTERDM,A,11,77.625
CHRISTOPHER ST,1,11,41.833333333333336
FRANKLIN AV,A,11,56.42857142857143
EASTN PKWY-MUSM,2,11,103.66666666666667
BRIARWOOD,F,11,17.0
DELANCEY/ESSEX,F,11,
B'WAY-LAFAYETTE,F,11,
HEWES ST,M,11,6.0
BEVERLY RD,2,11,103.7
ZEREGA AV,6,11,7.571428571428571
116 ST,6,11,12.708333333333334
CHAMBERS ST,2,11,65.7
EASTN PKWY-MUSM,3,11,73.66666666666667
174 ST,2,11,43.75
DEKALB AV,R,11,
BRIGHTON BEACH,Q,11,6.0
TIMES SQ-42 ST,7,11,6.7105263157894735
125 ST,2,11,43.125
GRAND-NEWTOWN,R,11,
CHURCH AV,2,11,86.83333333333333
JAMAICA CENTER,J,11,12.166666666666666
GRANT AV,A,11,46.2
BRIARWOOD,E,11,21.2
125 ST,A,11,87.15384615384616
BOROUGH HALL,2,11,73.33333333333333
DYCKMAN ST,A,11,102.04166666666667
KINGSTON-THROOP,A,11,56.42857142857143
104 ST,J,11,27.0
JAY ST-METROTEC,A,11,84.92307692307692
AVENUE U,N,11,0.0
EAST BROADWAY,F,11,
EASTCHSTER/DYRE,5,11,14.0
HEWES ST,J,11,7.0
86 ST-2 AVE,N,11,13.5
WOODHAVEN BLVD,J,11,
DYCKMAN ST,1,11,122.28571428571429
BLEECKER ST,6,11,5.615384615384615
DITMAS AV,F,11,
B'WAY-LAFAYETTE,D,11,
WHITEHALL S-FRY,R,11,
86 ST,Q,11,0.0
BROADWAY,G,11,5.4
ATL AV-BARCLAY,3,11,78.0
KINGS HWY,Q,11,
111 ST,A,11,40.5
167 ST,D,11,8.333333333333334
116 ST-COLUMBIA,1,11,87.85714285714286
CORTELYOU RD,Q,11,
174-175 STS,D,11,7.6
BEACH 60 ST,A,11,60.666666666666664
YORK ST,F,11,
JKSN HT-ROOSVLT,F,11,42.0
AVENUE H,Q,11,
CARROLL ST,G,11,
ASTOR PL,6,11,2.5
TIMES SQ-42 ST,1,11,108.92307692307692
FLUSHING AV,J,11,6.9
CANAL ST,A,11,75.58333333333333
FULTON ST,4,11,29.785714285714285
CONEY IS-STILLW,Q,11,0.0
WESTCHESTER SQ,6,11,8.571428571428571
FORDHAM RD,D,11,2.6666666666666665
CLASSON AV,G,11,4.5
FULTON ST,5,11,13.4
CANAL ST,1,11,22.88888888888889
BEACH 90 ST,H,11,0.4
FLATBUSH AV-B.C,2,11,187.0
COURT SQ,7,11,16.852941176470587
BURKE AV,2,11,3.4375
FULTON ST,A,11,81.75
CASTLE HILL AV,6,11,9.25
103 ST,A,11,69.0
BURNSIDE AV,4,11,19.0
TIMES SQ-42 ST,Q,11,
WTC-CORTLANDT,1,11,18.333333333333332
FLUSHING AV,G,11,3.8
INWOOD-207 ST,A,11,45.25
AQUEDUCT RACETR,A,11,7.333333333333333
KEW GARDENS,E,11,24.4
HOYT-SCHER,G,11,4.0
CORTLANDT ST,R,11,
BEACH 67 ST,A,11,67.57142857142857
FT HAMILTON PKY,G,11,
BAY RIDGE AV,R,11,
AQUEDUCT N.COND,A,11,82.0
